 ,Area,Mean,Min,Max,X,Y
1,0,47,47,47,633.750,298.250
2,0,45,45,45,638.000,271.750
3,0,42,42,42,615.000,270.750
4,0,41,41,41,601.250,291.250
5,0,37,37,37,719.000,347.750
6,0,53,53,53,744.500,353.500
7,0,50,50,50,652.750,345.000
8,0,51,51,51,694.000,372.500
9,0,27,27,27,661.500,393.500
10,0,38,38,38,656.250,403.250
11,0,48,48,48,609.750,375.750
12,0,35,35,35,665.000,352.750
13,0,52,52,52,588.500,327.000
14,0,13,13,13,724.000,315.750
15,0,30,30,30,618.000,457.000
16,0,38,38,38,617.500,443.250
17,0,46,46,46,604.500,426.500
18,0,59,59,59,597.000,432.750
19,0,23,23,23,602.750,442.250
20,0,46,46,46,660.750,450.750
21,0,61,61,61,691.250,432.000
22,0,44,44,44,680.500,399.250
23,0,32,32,32,746.333,308.833
24,0,33,33,33,752.167,318.667
25,0,49,49,49,764.000,300.667
26,0,64,64,64,774.000,315.833
27,0,50,50,50,741.500,250.833
28,0,46,46,46,724.000,240.500
29,0,55,55,55,774.333,261.000
30,0,46,46,46,832.667,254.833
31,0,41,41,41,705.000,307.000
32,0,49,49,49,645.000,261.000
33,0,43,43,43,637.667,255.667
34,0,41,41,41,685.667,243.000
35,0,46,46,46,690.333,233.000
36,0,29,29,29,669.000,251.667
37,0,34,34,34,716.333,277.667
38,0,23,23,23,704.333,297.667
39,0,30,30,30,716.333,302.333
40,0,39,39,39,673.667,275.000
41,0,34,34,34,657.000,290.333
42,0,38,38,38,658.333,316.333
43,0,27,27,27,653.667,310.333
44,0,26,26,26,635.000,317.667
45,0,32,32,32,620.333,323.000
46,0,37,37,37,615.667,333.000
47,0,48,48,48,629.667,337.000
48,0,27,27,27,644.333,342.333
49,0,32,32,32,688.333,344.333
50,0,42,42,42,699.000,353.000
51,0,39,39,39,706.333,354.333
52,0,52,52,52,795.667,329.667
53,0,41,41,41,797.000,321.000
54,0,45,45,45,812.333,301.667
55,0,22,22,22,807.000,284.333
56,0,50,50,50,825.667,267.000
57,0,59,59,59,800.333,230.333
58,0,54,54,54,797.000,215.000
59,0,57,57,57,825.667,201.667
60,0,46,46,46,853.667,186.333
61,0,57,57,57,849.667,176.333
62,0,39,39,39,851.000,199.000
63,0,37,37,37,863.667,205.000
64,0,27,27,27,862.333,257.000
65,0,30,30,30,849.667,259.667
66,0,48,48,48,867.667,304.333
67,0,49,49,49,860.333,313.000
68,0,43,43,43,848.000,307.333
69,0,40,40,40,845.000,345.667
70,0,46,46,46,830.333,365.000
71,0,60,60,60,851.667,385.000
72,0,32,32,32,861.000,369.000
73,0,46,46,46,857.000,394.333
74,0,37,37,37,887.000,417.000
75,0,36,36,36,872.333,400.333
76,0,43,43,43,883.667,389.000
77,0,42,42,42,886.333,380.333
78,0,38,38,38,882.333,364.333
79,0,51,51,51,872.333,349.667
80,0,46,46,46,810.667,248.000
81,0,30,30,30,829.667,225.667
82,0,67,67,67,881.000,246.000
83,0,40,40,40,885.667,254.000
84,0,59,59,59,893.333,269.333
85,0,35,35,35,889.000,289.000
86,0,29,29,29,871.667,289.667
87,0,68,68,68,887.333,318.333
88,0,38,38,38,891.000,340.000
89,0,51,51,51,899.667,337.667
90,0,71,71,71,909.333,332.000
91,0,56,56,56,915.667,320.333
92,0,39,39,39,922.667,333.667
93,0,42,42,42,910.000,300.667
94,0,53,53,53,935.333,290.667
95,0,43,43,43,943.667,306.333
96,0,50,50,50,957.000,292.333
97,0,49,49,49,962.667,277.000
98,0,36,36,36,944.333,271.333
99,0,50,50,50,990.333,270.667
100,0,35,35,35,980.667,307.333
101,0,43,43,43,963.333,323.333
102,0,50,50,50,974.667,347.000
103,0,54,54,54,971.333,355.333
104,0,44,44,44,950.000,371.667
105,0,39,39,39,932.333,354.667
106,0,21,21,21,942.000,345.667
107,0,29,29,29,958.333,363.000
108,0,46,46,46,1006.333,352.333
109,0,35,35,35,997.333,356.333
110,0,29,29,29,1008.333,345.333
111,0,51,51,51,1011.667,375.667
112,0,33,33,33,1003.333,377.667
113,0,48,48,48,1017.333,383.667
114,0,39,39,39,1022.667,381.000
115,0,48,48,48,1024.667,310.667
116,0,53,53,53,1010.000,298.333
