ID,Area,Mean,Min,Max,X,Y
1,0,47,47,47,633.75,298.25
2,0,45,45,45,638,271.75
3,0,42,42,42,615,270.75
4,0,41,41,41,601.25,291.25
5,0,37,37,37,719,347.75
6,0,53,53,53,744.5,353.5
7,0,50,50,50,652.75,345
8,0,51,51,51,694,372.5
9,0,27,27,27,661.5,393.5
10,0,38,38,38,656.25,403.25
11,0,48,48,48,609.75,375.75
12,0,35,35,35,665,352.75
13,0,52,52,52,588.5,327
14,0,13,13,13,724,315.75
15,0,30,30,30,618,457
16,0,38,38,38,617.5,443.25
17,0,46,46,46,604.5,426.5
18,0,59,59,59,597,432.75
19,0,23,23,23,602.75,442.25
20,0,46,46,46,660.75,450.75
21,0,61,61,61,691.25,432
22,0,44,44,44,680.5,399.25
23,0,32,32,32,746.333,308.833
24,0,33,33,33,752.167,318.667
25,0,49,49,49,764,300.667
26,0,64,64,64,774,315.833
27,0,50,50,50,741.5,250.833
28,0,46,46,46,724,240.5
29,0,55,55,55,774.333,261
30,0,46,46,46,832.667,254.833
31,0,41,41,41,705,307
32,0,49,49,49,645,261
33,0,43,43,43,637.667,255.667
34,0,41,41,41,685.667,243
35,0,46,46,46,690.333,233
36,0,29,29,29,669,251.667
37,0,34,34,34,716.333,277.667
38,0,23,23,23,704.333,297.667
39,0,30,30,30,716.333,302.333
40,0,39,39,39,673.667,275
41,0,34,34,34,657,290.333
42,0,38,38,38,658.333,316.333
43,0,27,27,27,653.667,310.333
44,0,26,26,26,635,317.667
45,0,32,32,32,620.333,323
46,0,37,37,37,615.667,333
47,0,48,48,48,629.667,337
48,0,27,27,27,644.333,342.333
49,0,32,32,32,688.333,344.333
50,0,42,42,42,699,353
51,0,39,39,39,706.333,354.333
52,0,52,52,52,795.667,329.667
53,0,41,41,41,797,321
54,0,45,45,45,812.333,301.667
55,0,22,22,22,807,284.333
56,0,50,50,50,825.667,267
57,0,59,59,59,800.333,230.333
58,0,54,54,54,797,215
59,0,57,57,57,825.667,201.667
60,0,46,46,46,853.667,186.333
61,0,57,57,57,849.667,176.333
62,0,39,39,39,851,199
63,0,37,37,37,863.667,205
64,0,27,27,27,862.333,257
65,0,30,30,30,849.667,259.667
66,0,48,48,48,867.667,304.333
67,0,49,49,49,860.333,313
68,0,43,43,43,848,307.333
69,0,40,40,40,845,345.667
70,0,46,46,46,830.333,365
71,0,60,60,60,851.667,385
72,0,32,32,32,861,369
73,0,46,46,46,857,394.333
74,0,37,37,37,887,417
75,0,36,36,36,872.333,400.333
76,0,43,43,43,883.667,389
77,0,42,42,42,886.333,380.333
78,0,38,38,38,882.333,364.333
79,0,51,51,51,872.333,349.667
80,0,46,46,46,810.667,248
81,0,30,30,30,829.667,225.667
82,0,67,67,67,881,246
83,0,40,40,40,885.667,254
84,0,59,59,59,893.333,269.333
85,0,35,35,35,889,289
86,0,29,29,29,871.667,289.667
87,0,68,68,68,887.333,318.333
88,0,38,38,38,891,340
89,0,51,51,51,899.667,337.667
90,0,71,71,71,909.333,332
91,0,56,56,56,915.667,320.333
92,0,39,39,39,922.667,333.667
93,0,42,42,42,910,300.667
94,0,53,53,53,935.333,290.667
95,0,43,43,43,943.667,306.333
96,0,50,50,50,957,292.333
97,0,49,49,49,962.667,277
98,0,36,36,36,944.333,271.333
99,0,50,50,50,990.333,270.667
100,0,35,35,35,980.667,307.333
101,0,43,43,43,963.333,323.333
102,0,50,50,50,974.667,347
103,0,54,54,54,971.333,355.333
104,0,44,44,44,950,371.667
105,0,39,39,39,932.333,354.667
106,0,21,21,21,942,345.667
107,0,29,29,29,958.333,363
108,0,46,46,46,1006.333,352.333
109,0,35,35,35,997.333,356.333
110,0,29,29,29,1008.333,345.333
111,0,51,51,51,1011.667,375.667
112,0,33,33,33,1003.333,377.667
113,0,48,48,48,1017.333,383.667
114,0,39,39,39,1022.667,381
115,0,48,48,48,1024.667,310.667
116,0,53,53,53,1010,298.333
117,0,26,26,26,993.333,311.333
118,0,56,56,56,900.667,197.333
119,0,25,25,25,892.667,205
120,0,28,28,28,888.333,188
121,0,43,43,43,901,179.333
122,0,32,32,32,893.667,169.333
123,0,69,69,69,881.667,173.667
124,0,41,41,41,916.333,208
125,0,63,63,63,928.333,207.667
126,0,44,44,44,932.333,217.333
127,0,56,56,56,943,212
128,0,29,29,29,956.667,230.333
129,0,33,33,33,967.333,230
130,0,45,45,45,968,242.333
131,0,24,24,24,954.333,249
132,0,48,48,48,974,261
133,0,35,35,35,995.333,253.667
134,0,50,50,50,1012.333,276.333
135,0,50,50,50,1023.667,275.667
136,0,46,46,46,924.333,187.333
137,0,48,48,48,948,164.333
138,0,51,51,51,941.333,192
139,0,40,40,40,965.667,181
140,0,53,53,53,960,200.333
141,0,50,50,50,995.667,206.333
142,0,58,58,58,1011.667,226
143,0,32,32,32,1004,231.333
144,0,49,49,49,779.667,326.333
145,0,35,35,35,738.333,333
146,0,53,53,53,762.333,350.667
147,0,34,34,34,750,344.667
148,0,43,43,43,784,359.667
149,0,23,23,23,823.333,341
150,0,21,21,21,813.333,356.333
151,0,22,22,22,800.667,380
152,0,24,24,24,815,380.667
153,0,46,46,46,784.667,383
154,0,46,46,46,802.333,397.667
155,0,44,44,44,767,370.333
156,0,39,39,39,769.667,364.667
157,0,57,57,57,734.333,353.333
158,0,40,40,40,743,365
159,0,47,47,47,749.667,374
160,0,26,26,26,753.333,359.667
161,0,37,37,37,719.333,387
162,0,39,39,39,728,390
163,0,31,31,31,726.667,409.667
164,0,37,37,37,717,403.333
165,0,24,24,24,766.333,404.333
166,0,23,23,23,733,400.333
167,0,28,28,28,759.667,417.667
168,0,44,44,44,738.667,421
169,0,49,49,49,773.333,432
170,0,29,29,29,802,416
171,0,63,63,63,801.333,440.667
172,0,30,30,30,817.667,444.667
173,0,32,32,32,839.333,436
174,0,30,30,30,852.667,422
175,0,60,60,60,813.667,407.667
176,0,34,34,34,734.333,269.667
177,0,45,45,45,692,250.667
178,0,38,38,38,639.667,354.667
179,0,38,38,38,630.667,364.333
180,0,33,33,33,607.667,357
181,0,33,33,33,592.333,357
182,0,26,26,26,598.667,347
183,0,57,57,57,583.667,368.667
184,0,39,39,39,591.667,394.333
185,0,50,50,50,598.667,402
186,0,54,54,54,589.667,410
187,0,43,43,43,606.333,392
188,0,29,29,29,615,418.667
189,0,36,36,36,631.667,427
190,0,36,36,36,631.667,413.333
191,0,45,45,45,648,424.333
192,0,52,52,52,644.333,413
193,0,43,43,43,636,398
194,0,37,37,37,645.667,405.333
195,0,44,44,44,670.333,415.333
196,0,32,32,32,668,438.667
197,0,36,36,36,648,442.667
198,0,25,25,25,644,450
199,0,52,52,52,697.667,424.333
200,0,39,39,39,692.333,412
201,0,47,47,47,727,432.667
202,0,31,31,31,695.333,446.667
203,0,38,38,38,758,446.667
204,0,37,37,37,892.667,331
205,0,21,21,21,763,245.333
206,0,35,35,35,762.667,256.333
207,0,23,23,23,753,262
208,0,20,20,20,758.667,275
209,0,34,34,34,785.333,303
210,0,64,64,64,721,224
211,0,47,47,47,708.667,226
212,0,35,35,35,700,215.667
213,0,46,46,46,773.333,204
214,0,58,58,58,795,203.333
215,0,36,36,36,807.333,209.333
216,0,40,40,40,790.667,222
217,0,54,54,54,614.333,247.333
218,0,52,52,52,620.333,246.667
219,0,53,53,53,619,240
220,0,47,47,47,608.667,234.667
221,0,45,45,45,612.667,217.333
222,0,49,49,49,615.667,200.333
223,0,41,41,41,635,217
224,0,22,22,22,674.333,230
225,0,47,47,47,658.667,195.333
226,0,43,43,43,671.333,188.667
227,0,48,48,48,690.667,194.667
228,0,42,42,42,708.667,172.667
229,0,40,40,40,691.333,178.667
230,0,46,46,46,725.333,155.333
231,0,73,73,73,764.667,189.333
232,0,24,24,24,753.333,200
233,0,32,32,32,724,200
234,0,32,32,32,796,169.333
235,0,26,26,26,778,166
236,0,30,30,30,782.667,152
237,0,31,31,31,757.333,156.667
238,0,39,39,39,778.667,132.667
239,0,42,42,42,755.333,134.667
240,0,35,35,35,747.333,124.667
241,0,46,46,46,740,112
242,0,27,27,27,738,106
243,0,47,47,47,828,134
244,0,50,50,50,872.667,174.667
245,0,35,35,35,865.333,167.333
246,0,21,21,21,856.667,150.667
247,0,28,28,28,817.333,155.333
248,0,21,21,21,819.333,180
249,0,46,46,46,810,131.333
250,0,33,33,33,799.333,128
