"ID","Area","Mean","Min","Max","XM","YM","IntDen","RawIntDen"
1,182,9.797,7,14,443.067,850.744,1783,1783
2,182,8.242,6,12,429.147,812.771,1500,1500
3,182,8.269,6,11,417.776,803.537,1505,1505
4,182,9.571,7,12,489.069,849.512,1742,1742
5,182,9.571,7,12,486.885,884.53,1742,1742
6,182,3.203,1,5,336.821,940.442,583,583
7,182,3.319,2,5,420.649,954.778,604,604
8,182,2.89,1,4,279.017,990.614,526,526
9,182,3.308,1,5,409.899,986.346,602,602
10,182,2.769,1,5,466.952,998.25,504,504
11,182,3.582,2,5,486.834,970.584,652,652
12,182,3.505,1,6,481.456,954.502,638,638
13,182,8.951,7,11,526.898,926.455,1629,1629
14,182,8.769,6,12,528.748,912.472,1596,1596
15,182,8.813,7,11,570.853,953.616,1604,1604
16,182,10.132,7,29,624.454,959.876,1844,1844
17,182,6.374,4,10,703.703,986.853,1160,1160
18,182,8.879,6,13,753.035,975.38,1616,1616
19,182,7.533,4,11,773.232,876.185,1371,1371
20,182,8.077,5,10,771.89,805.464,1470,1470
21,182,9,7,11,641.038,835.367,1638,1638
22,182,9.44,7,14,621.835,831.508,1718,1718
23,182,10.137,7,14,567.111,827.399,1845,1845
24,182,4.088,2,6,635.401,560.515,744,744
25,182,6.489,5,9,454.981,572.308,1181,1181
26,182,10.742,8,15,277.272,656.441,1955,1955
27,182,10.533,8,13,302.96,622.565,1917,1917
28,182,8.121,5,12,564.861,523.788,1478,1478
29,182,6.165,4,9,582.893,531.283,1122,1122
30,182,4.555,2,7,603.839,542.44,829,829
31,182,4.56,2,7,625.661,542.063,830,830
32,182,4.247,2,7,643.235,552.842,773,773
33,182,6.956,5,11,643.363,576.615,1266,1266
34,182,8.022,6,11,644.108,594.691,1460,1460
35,182,7.945,5,11,813.082,607.699,1446,1446
36,182,8.505,5,14,824.286,622.298,1548,1548
37,182,8.104,6,11,835.156,636.505,1475,1475
38,182,6.962,4,10,733.11,656.277,1267,1267
39,182,8.214,6,11,723.197,643.269,1495,1495
40,182,7.462,5,10,911.054,558.195,1358,1358
41,182,4.852,2,8,946.928,568.621,883,883
42,182,7.824,5,17,970.446,561.045,1424,1424
43,182,12.055,7,45,989.833,542.828,2194,2194
44,182,7.758,5,10,1033.043,536.349,1412,1412
45,182,7.599,4,10,1048.337,515.496,1383,1383
46,182,7.324,4,14,1029.492,506.55,1333,1333
47,182,6.731,4,10,1058.293,487.573,1225,1225
48,182,7.527,4,11,1046.112,473.361,1370,1370
49,182,8.879,6,15,962.017,480.325,1616,1616
50,182,8.703,7,12,941.927,507.418,1584,1584
51,182,9.78,5,18,949.748,516.949,1780,1780
52,182,8.088,5,12,1081.982,489.69,1472,1472
53,182,5.269,2,10,1130.215,500.391,959,959
54,182,7.775,6,11,1101.193,455.876,1415,1415
55,182,7.813,5,11,1153.051,441.703,1422,1422
56,182,8.5,6,15,1199.338,440.543,1547,1547
57,182,2.203,0,13,1341.537,506.231,401,401
58,182,1.154,0,7,1332.024,520.776,210,210
59,182,0.44,0,4,1343.975,538.525,80,80
60,182,1.313,0,8,1353.998,520.383,239,239
61,182,1.819,0,5,1272.998,570.373,331,331
62,182,1.764,0,5,1279.304,557.469,321,321
63,182,5.286,1,12,1270.109,595.536,962,962
64,182,4.291,1,9,1289.519,597.383,781,781
65,182,6.302,3,16,1313.078,600.242,1147,1147
66,182,7.648,4,10,1221.065,609.356,1392,1392
67,182,7.462,4,14,1219.062,547.216,1358,1358
68,182,3.104,1,5,1154.249,551.571,565,565
69,182,2.412,1,5,1149.505,529.776,439,439
70,182,4.538,1,8,1132.914,509.701,826,826
71,182,7.615,4,10,1050.379,513.602,1386,1386
72,182,7.571,4,12,1048.996,477.495,1378,1378
73,182,8.604,6,14,961.854,482.644,1566,1566
74,182,8.698,6,11,946.048,511.602,1583,1583
